Jahr;Op.#;RSWV;Aus Film/Operette/Musical;Titel;Komponist;Texter;Refrain;Strophe_1;Strophe_2;Strophe_3;# Strophen;Tonart;Taktart;Tempoangabe
1955;op. 963;709;Frühjahrsparade (Operette), Die Deutschmeister (Film);Wenn die Vöglein musizieren…;Robert Stolz;Ernst Marischka;"Wenn die Vöglein musizieren, dann ruf' ich ""Hurra! Der Frühling ist da!"" Und dann muß ich losmarschieren, bergauf und bergab stundenlang! Überall, ringsumher nur ein Blühen! Und Wangen, die glühen! Überall ringsumher nur ein Scherzen, und Herzen von Liebe voll! Wenn die Vöglein musizieren, dann ruf' ich ""Hurra! Der Frühling ist da!"" Und dann muß ich losmarschieren, denn dann erst gefällt mir die Welt!";"Alles schnäbelt früh und spät! Ja, das ist der Frühling! Jeder Mann auf Brautschau geht, wenn die Sonne lacht! Jeder Ochs, jede Kuh macht verliebt und zärtlich ""muh""! Alles quitscht, alles baltzt, alles zwitschert, piepst und schnalzt!";"Jeder Hahn ruft ""Kikriki!"" Ja, das macht der Frühling! ""So verliebt war ich noch nie!"" ruft er schon ganz früh! Jede Gans, jede Geiß freut sich diebisch, weil sie weiß, daß der Tag nicht mehr weit, wo ein Freier um sie freit!"; ;2;C-Dur;2/2;
1955;op. 964;710;Frühjahrsparade (Operette), Die Deutschmeister (Film);Im Frühling im Mondschein im Prater in Wien;Robert Stolz;Ernst Marischka;Im Frühling im Mondschein im Prater in Wien, von weitem die Geigen ein Duft von Jasmin… Von ringsumher hört man ganz leise Musik, zwei Menschen sind selig und träumen vom Glück. Erst hört man sie plaudern, dann wird es ganz still… denn richtig Verliebte, die reden nicht viel... ein Busserl fliegt her und ein Busserl fliegt hin... im Frühling im Prater in Wien!;So war's immer schon, so ist es auch heut', so wird's auch sein, wenn wir lang nimmer sind! Denn verliebte Leut' gibts zu jeder Zeit und wissenS' wo man die meisten find't?; ; ;1;G-Dur;3/4;Langsames Walzertempo
(Druck 1963);o.A.;751;;Mit dem Frühling kommt die Liebe;Robert Stolz;Alex Österlein, Hans Kaszubski;Mit dem Frühling kommt die Liebe, mit der Liebe kommt das Glück. Darum nütze jede Stunde, jeden kleinsten Augenblick. Mit dem Frühling kommt die Liebe, mit der Liebe kommt das Glück. Darum nütze jede Stunde, denn die Zeit kommt nie zurück! Mit dem Frühling kommt der Mai!;Laß die Liebe niemals warten, geh nicht still an ihr vorbei, jedes Jahr hat einen Frühling, jeder Frühling nur einen Mai.; ;;2;C-Dur;3/4;Ruhiges Walzertempo
1968;o.A.;786;;Frühling in Amsterdam;Robert Stolz;Gerry Oord;Frühling in Amsterdam muß man einmal erleben! Frühling in Amsterdam, Schön'res kann es nicht geben! Frühling in Amsterdam, Amsterdam, Amsterdam, da schlägt das Herz bim-bam in Amsterdam.;"Tulpen erblüh'n, in Holland wird's grün, und die Grachten, die träumen; laden dich ein hier glücklich zu sein. Unter den blühenden Bäumen";;;1;B-Dur;3/4;Fröhliches Walzertempo
;;;;;;;;;;;;;;
;;;;;;;;;;;;;3/4 = 7x(8x);
;;;;;;;;;;;;;;
;;;;;;;;;;;;;2/2 = 3x;
;;;;;;;;;;;;;2/4 = 3x(4x);
;;;;;;;;;;;;;4/8 = 1x;
;;;;;;;;;;;;;;
;;;;;;;;;;;;B-Tonarten:;10;
;;;;;;;;;;;;#-Tonarten:;2;
;;;;;;;;;;;;C-Dur:;3;
